block,txhash,liquidator,action,token,decimals,amount,seizeTokens,borrower
8410884,0xad68ae99a848f1e76df42230a6c0d62418e2ac6bb3cf2863f35ff4e2a4bca6b8,0xf8E562f4F30c5DdA0978857067D6585265dA3437,liquidate,ZRX,18,767944654154363293139,4262826985,0x3D1A8BF4B5Db60F71386f1E714C1402ba9476242
8411846,0xac800de9faa8e60b65ec9b312d1c5acfde986233b9ebfbcb9862ff56ec17007c,0x0f3C2476FBF0ed09DFf00EA7f4eF252DcC72E6f1,liquidate,ZRX,18,30040754260996010278912,167545998332,0x3D1A8BF4B5Db60F71386f1E714C1402ba9476242
8447508,0x486393b93a528ba1d6a6f7ac4727080c28d0debf17056ffa583a8983ff57550c,0x10aab4B0EF76AA2AC9b5909e671517a1171B050E,liquidate,ZRX,18,32571446947549500000,156581042,0x32A4edb6EdF93286fDFd6EA485d02D6A7bAf4c1B
8473888,0xc1053ec8154e7f54454e551b36387fb1e366baee0a03be9a4c6fee62e52a05d3,0x0f3C2476FBF0ed09DFf00EA7f4eF252DcC72E6f1,liquidate,ZRX,18,194771464867033423242,171369600908,0x39DAb51B477cDAdEe45191abf283EC8b3e4108A3
8567819,0x5c660405bc416d1d011ebde57ffd8816bb0abee235b99aac4797cccf8ef94180,0x10aab4B0EF76AA2AC9b5909e671517a1171B050E,liquidate,ZRX,18,97556131229416400000,82720700210,0x39DAb51B477cDAdEe45191abf283EC8b3e4108A3
8592639,0x8ebc71db7e374dc992141074034188edb6f1711b693580e84ca755e94f13a296,0x492Ff1c96b398297FcAcd6E7E1E968d2b2fc7Da0,liquidate,ZRX,18,48809149142916380801,57991944809,0x39DAb51B477cDAdEe45191abf283EC8b3e4108A3
8592649,0x74c147ad2aab594d3c8d91fc8a65cc9a7888011dad7ef45839664e063c2692a5,0x492Ff1c96b398297FcAcd6E7E1E968d2b2fc7Da0,liquidate,ZRX,18,24404578601738838790,28995967162,0x39DAb51B477cDAdEe45191abf283EC8b3e4108A3
8621699,0x43a6353f265b6f9c3c9474098a4b9f5846e5b4ce29c7015306fdee569ecaf9f1,0x492Ff1c96b398297FcAcd6E7E1E968d2b2fc7Da0,liquidate,ZRX,18,3129911213087464183040,20649604877,0xcabA1a66F0049ab97256d75EEb48d540A7a1F8fF
8621699,0xea26832d03a757cc831d45d58e4cdb5914776c729a908da19a0b519d9f85461d,0x492Ff1c96b398297FcAcd6E7E1E968d2b2fc7Da0,liquidate,ZRX,18,1500961633716934042510,9902601883,0x322D404Ec58f56FEF69ACFd186AC93022A362935
8626097,0x700c99c216153b7aa55a22faadafa1ee97acbd2c3020bd4058970874cf1170e8,0x06f8F66648Cac8bD39E9ccE036094ef4Dd1b504b,liquidate,ZRX,18,12000000000000000000,90085799940,0xBB6D1a9CA8E7f56a385C0808e68627D93193DcDc
8626106,0x2d13674785b4a3751830babc6a6ed1cc47e6a1150162e4f001ab2dc6eeb6ff38,0x06f8F66648Cac8bD39E9ccE036094ef4Dd1b504b,liquidate,ZRX,18,16000000000000000000,114065008,0x32A4edb6EdF93286fDFd6EA485d02D6A7bAf4c1B
8626106,0xb939dbac1b1184b4ce4151dd3c54d56e61bcd31f2f2251fc7d796825cb7668ae,0x06f8F66648Cac8bD39E9ccE036094ef4Dd1b504b,liquidate,ZRX,18,8000000000000000000,57032504,0x7FBa4217384d72ffB1829bC4Af375803190a897a
8635659,0x7b2701ec5d5f342c291ee55e52e2fc0d265ebd0f13af2fe98dd75071c82ee282,0x06f8F66648Cac8bD39E9ccE036094ef4Dd1b504b,liquidate,ZRX,18,20000000000000000000,130614640,0xD3b316c638c7C1989900527917E4bcdd0DAaB004
8635669,0xfd2e09cdb8deeb126bd1461c54b7e11365d015da819e871dc65d9dc8f8fde23d,0x06f8F66648Cac8bD39E9ccE036094ef4Dd1b504b,liquidate,ZRX,18,15000000000000000000,97960980,0x7FBa4217384d72ffB1829bC4Af375803190a897a
8659346,0x87ad6750631add0a0eccb436f0d80d8cf5db017f60147982089cbe6deac3ae9c,0x6D0f24E1870D1Ff381888cB90de769a4e8923D29,liquidate,ZRX,18,28559078950984956598,181316365,0x9424BFC9F19d2c40d79Ca20094A7Da9d4024C44B
8671396,0x15b8fcb7b2e4dfa9e3feff92a32eaf0d64ec2c68c47ab3c0475f235370b87f6b,0x000000Aaee6A496aaf7b7452518781786313400f,liquidate,ZRX,18,8268599999999999000,52091105,0x32A4edb6EdF93286fDFd6EA485d02D6A7bAf4c1B
8676908,0x5d209080838ef7bb64fd5baff8a63f236858ff237d28f281285340e2d36c6693,0x000000Aaee6A496aaf7b7452518781786313400f,liquidate,ZRX,18,62148500000000000000,69004162064,0x2090eE8CC7c7183C1084e5F0dA5cBF3BE3025816
8676980,0xcf538d128535fb779618344fb89ecad9fa4622ee418263eae265962e12a5b768,0x492Ff1c96b398297FcAcd6E7E1E968d2b2fc7Da0,liquidate,ZRX,18,419659616083101874,465951349,0x6147eDa90209e9c868e22659954EDfd6f8C26626
8676980,0xdbccb58bd98cccb3d1e48abc9275dcc19bd0cdc51922f2bee6779f7afc57571c,0x492Ff1c96b398297FcAcd6E7E1E968d2b2fc7Da0,liquidate,ZRX,18,2182185310249024908,14301287,0x315a0f2267ae8E8d3EC3Cae1a0284097b47fA1c6
8676980,0x17a3d9bbcf0d634da6b54dcaf0bbc5b5d4ef8aaf59ae2d255bc4ff3bfbf612b1,0x492Ff1c96b398297FcAcd6E7E1E968d2b2fc7Da0,liquidate,ZRX,18,4091413884275601,4542728,0x0Ed66E54a3f5822CB2083778EEbdCeAEAff8D6a0
8677007,0xcb4fac4269a20b72be41293a6034488beda76a96bc5a838f4a2f188764c111d2,0x492Ff1c96b398297FcAcd6E7E1E968d2b2fc7Da0,liquidate,ZRX,18,15177731962617764361,100531544,0xD3b316c638c7C1989900527917E4bcdd0DAaB004
8700863,0x7f16bee9e040f8ff591b32039e2cd28a83a6e22ecf2db89686fcec3ebbc0c158,0x000000Aaee6A496aaf7b7452518781786313400f,liquidate,ZRX,18,20234800000000000000,140206807,0x7FBa4217384d72ffB1829bC4Af375803190a897a
8705340,0x20a22b934cd8155a49c3c6247fe29a4bb70f6e87e3176524e89b6a97f1b93c43,0x10aab4B0EF76AA2AC9b5909e671517a1171B050E,liquidate,ZRX,18,752243778056429000000,5962889741,0x322D404Ec58f56FEF69ACFd186AC93022A362935
8706459,0x7653f176b0c581dbe3caf941e32aafc7248bc4e7f9a9959c6f518ce74a3a5b52,0x0c31b6605686aa26df47eb45AF0e4aa6639A5fd6,liquidate,ZRX,18,31431400000000000000,42045943765,0x2090eE8CC7c7183C1084e5F0dA5cBF3BE3025816
8715249,0xfa0b9a9fbdb7f8ebc3da648f0a4176464c558c7288e9b980c364c3ebf0bc34de,0x000000Aaee6A496aaf7b7452518781786313400f,liquidate,ZRX,18,6075300000000000000,43331367035,0xBB6D1a9CA8E7f56a385C0808e68627D93193DcDc
8724074,0x5ded4ca9dadff1296608d9264dd8097a1c53ac4193055eb26770ddfd86850cf1,0x000000Aaee6A496aaf7b7452518781786313400f,liquidate,ZRX,18,4186200000000000500,31429621,0x32A4edb6EdF93286fDFd6EA485d02D6A7bAf4c1B
8736102,0xb58c139208eae3ad96489dacfdd95bc3bedfcac2931ad23026c2185d561664e9,0x10aab4B0EF76AA2AC9b5909e671517a1171B050E,liquidate,ZRX,18,1922580361574950000000,2815365951021,0x1a872e42992E5aEEA21B2825E67315cdf3e54511
8739938,0xaddc9b5812e431031fb94e47663c9d09e060b2a9253002befbc3dede91682576,0x492Ff1c96b398297FcAcd6E7E1E968d2b2fc7Da0,liquidate,ZRX,18,1571432226220684946849,14406024790,0xcabA1a66F0049ab97256d75EEb48d540A7a1F8fF
8740599,0x5e9d1b898db3e520ee29eed76e91bffc093493ff8675efc4ad62dab9d394e784,0x000000Aaee6A496aaf7b7452518781786313400f,liquidate,ZRX,18,8361400000000000000,13243974971,0x3Aa9bF98229C699D74eff0bf7C168Bcd51f3da27
8740604,0xdaa37ee46dbd25b39a6cf57b49017743bc4289f61946c125739bcd6f677f7faf,0x000000Aaee6A496aaf7b7452518781786313400f,liquidate,ZRX,18,10238800000000000000,92037894,0x7FBa4217384d72ffB1829bC4Af375803190a897a
8740612,0x527e0490c674dc8788a0a34489971977cf5a24fe4924bd907be4d7b0a73aba79,0x000000Aaee6A496aaf7b7452518781786313400f,liquidate,ZRX,18,6158700000000000000,55361348,0x8376B14104dBf0642a3c2Adfa33793cFcb0B8d76
8741270,0x6e179629e88d09931308dc4a96645e43994b196337e869d3edf6392bfb073a2b,0x0c31b6605686aa26df47eb45AF0e4aa6639A5fd6,liquidate,ZRX,18,9941100000000000000,91556954,0xB3597A560e312AF23349F599c3318b79E244Ef72
8741320,0x94ab189d717f8a7b5a32c9311c9e634c3073c54ed6d224f115bc7a282c9a5368,0x492Ff1c96b398297FcAcd6E7E1E968d2b2fc7Da0,liquidate,ZRX,18,5016570908426041480307,8245479584888,0x2b11b02F5B32056af20cDf8a45D4F680B303B3a3
8741957,0xd5c1d733d42b0048c2fbd0c46729cb055ecc07035bd7215c755a79a516f1e5c3,0x10aab4B0EF76AA2AC9b5909e671517a1171B050E,liquidate,ZRX,18,376807960147160000000,3600452058,0x322D404Ec58f56FEF69ACFd186AC93022A362935
8742661,0x07d8982bf5dfbfa2b46e9a1d512595f388a60826c3e9c82ba73e242fc779181a,0x000000Aaee6A496aaf7b7452518781786313400f,liquidate,ZRX,18,15899400000000000000,26038706365,0x2090eE8CC7c7183C1084e5F0dA5cBF3BE3025816
8752885,0x88bed326e4b273736388798be8e0182b783ef52e18f5091cb1e3beb3025b2489,0x25f952C6b87D3A9C48aC86B61F27b81a6f2ED332,liquidate,ZRX,18,7538200000000000000,69642987,0xD3b316c638c7C1989900527917E4bcdd0DAaB004
8752895,0x553cbae7a0594e1c17820a56b6d80c02f7776be1cfc0518493c963d1f96400f7,0x25f952C6b87D3A9C48aC86B61F27b81a6f2ED332,liquidate,ZRX,18,5171900000000000000,47781508,0x7FBa4217384d72ffB1829bC4Af375803190a897a
8753255,0x8ef5e29f04e1b401700e3ca2db78a014e2b219293024560bb169bc01d4278315,0x25f952C6b87D3A9C48aC86B61F27b81a6f2ED332,liquidate,ZRX,18,3072300000000000000,23254722369,0xBB6D1a9CA8E7f56a385C0808e68627D93193DcDc
8759386,0xa324ded6485ef370b8ec6dd8a6d515f59f8ba637e6ee92d8f0939fe8b73c082e,0x25f952C6b87D3A9C48aC86B61F27b81a6f2ED332,liquidate,ZRX,18,13159400000000000000,124799841,0x85c4C2C6141B06b1d719C3E5cc5270Dbe949BF27
8761278,0x32bf152dd4212fd33068163b7da14023e8a941f78272439513726dea81fb5cd8,0x2C35dDb530A24B71112C9d8ACEa592b7f68d9265,liquidate,ZRX,18,1094924122620316520,10251409,0x315a0f2267ae8E8d3EC3Cae1a0284097b47fA1c6
8761278,0x4ffce0e7032f1f5bb3eb26758ce6c9cc67f03fedb1d1cf25e42527a3756acb8c,0x2C35dDb530A24B71112C9d8ACEa592b7f68d9265,liquidate,ZRX,18,2137702921603739206,20014600,0x32A4edb6EdF93286fDFd6EA485d02D6A7bAf4c1B
8761337,0xfdb19276a55ce5bfdaa3c5c9dd67b42872df7953d8552aa591fb22a70107a55c,0xC6D1cBd356FaA71447A86C2FAA68e6456907e816,liquidate,ZRX,18,547462662271043564,5125710,0x315a0f2267ae8E8d3EC3Cae1a0284097b47fA1c6
8761337,0xa7eda0cceb1c9d6bb3acc3d4eec9aafa5438f667fff71c12eb077994b41b7de4,0xC6D1cBd356FaA71447A86C2FAA68e6456907e816,liquidate,ZRX,18,1068852634103118287,10007311,0x32A4edb6EdF93286fDFd6EA485d02D6A7bAf4c1B
8761360,0x87e164b4f3ec011e21db357d325074430800cf8d247ba29b3d483fe1ec3f3a36,0xC6D1cBd356FaA71447A86C2FAA68e6456907e816,liquidate,ZRX,18,534426605405010694,5003658,0x32A4edb6EdF93286fDFd6EA485d02D6A7bAf4c1B
8764441,0x0d9d6fb75a57172b5556cbbc8d65479ee0684937366aa79a014f480c17fd8555,0xC6D1cBd356FaA71447A86C2FAA68e6456907e816,liquidate,ZRX,18,210579087165031390,318242708,0x6147eDa90209e9c868e22659954EDfd6f8C26626
8764441,0x2b66c2012b7684f968f7f16a505e18c8d438f4da0cf6c5357a68cf85c2a6be6d,0xC6D1cBd356FaA71447A86C2FAA68e6456907e816,liquidate,ZRX,18,7963075431408138,12034389,0x88F598e1f05Eff820bFb78BE660a92AEf481d488
8764443,0xd8971f2bbca9cc45b8a08797a98fd7c666a46e022d659efb68c0eee5f1c037f2,0xC6D1cBd356FaA71447A86C2FAA68e6456907e816,liquidate,ZRX,18,273747242376324809,2535917,0x315a0f2267ae8E8d3EC3Cae1a0284097b47fA1c6
8764443,0x6462a07f77f43544a7be6bb6cd850cd40514bf2dcc893fe835cda042df708158,0xC6D1cBd356FaA71447A86C2FAA68e6456907e816,liquidate,ZRX,18,49031753828592,74100,0xD4411B38E2eEecd6A5c238403e7c1655090777F4
8764443,0x75ee5799edc95cdd3711744855c68e136b45fdc9bf91f5703abff9835975ed83,0xC6D1cBd356FaA71447A86C2FAA68e6456907e816,liquidate,ZRX,18,2053011974648523,3102663,0x0Ed66E54a3f5822CB2083778EEbdCeAEAff8D6a0
8765999,0x6f1a271d3feda315140691b5cdb84587bdcab84f48af235994c225225d09150b,0xC6D1cBd356FaA71447A86C2FAA68e6456907e816,liquidate,ZRX,18,1026535819625665,1537736,0x0Ed66E54a3f5822CB2083778EEbdCeAEAff8D6a0
8765999,0x7203609f5a56d2bad20246fbf23c975d058bb1097c4d82307de48a9e499f2709,0xC6D1cBd356FaA71447A86C2FAA68e6456907e816,liquidate,ZRX,18,136877599007261318,1256147,0x315a0f2267ae8E8d3EC3Cae1a0284097b47fA1c6
8766000,0x2ee4bd0e614e8048584270a28689f27983e8a537a5f017dcddcee32465f4fae1,0xC6D1cBd356FaA71447A86C2FAA68e6456907e816,liquidate,ZRX,18,105292603505489856,157726863,0x6147eDa90209e9c868e22659954EDfd6f8C26626
8766000,0xff8b6453c10761d56598b53cd66aac0f5f4dff28238b37aec3c7e04ba6285cd0,0xC6D1cBd356FaA71447A86C2FAA68e6456907e816,liquidate,ZRX,18,24516589394338,36725,0xD4411B38E2eEecd6A5c238403e7c1655090777F4
8766000,0xd7c8f22c8104131987e30c6a80001345dcdbf2cdcd580672e3f009846816b534,0xC6D1cBd356FaA71447A86C2FAA68e6456907e816,liquidate,ZRX,18,3981653427087310,5964461,0x88F598e1f05Eff820bFb78BE660a92AEf481d488
8771845,0x9788f8a3f2d714ce9c88c93f720b35bab7a79efb6ae4d5ada04a05b8fe1e1994,0x25f952C6b87D3A9C48aC86B61F27b81a6f2ED332,liquidate,ZRX,18,8379600000000000000,76567690,0x85c4C2C6141B06b1d719C3E5cc5270Dbe949BF27
8778340,0x445d174c73fad2690de69df827898f77e393eca31a8c1a3adf49b494f2e5b3e7,0x25f952C6b87D3A9C48aC86B61F27b81a6f2ED332,liquidate,ZRX,18,8418300000000000000,86178642,0x8581C388a30518884522Fb177a92fc2193510814
8780573,0x0947131cf70bd476e78744c0a3183506737f103de773dd02fed2e0a53676ef6d,0x000000Aaee6A496aaf7b7452518781786313400f,liquidate,ZRX,18,3387500000000000000,33710818,0xDA17B5106Ceab831cc1800B491b2862a0b950479
8794367,0x6dca83accb039c263318cad35512a209593a452a99e3578f4d06b61506893f2a,0x000000Aaee6A496aaf7b7452518781786313400f,liquidate,ZRX,18,3809700000000000000,37954261,0xD3b316c638c7C1989900527917E4bcdd0DAaB004
8797644,0xa2c0ee6b79278d0da1ea2e6c0de0a7d3267effbfe4b36c1bfabaf096ea2d36a3,0x10aab4B0EF76AA2AC9b5909e671517a1171B050E,liquidate,ZRX,18,503490267181983000000,4839204564,0x5A7D7D8591De34678E8601a2A25F1ab06e90DA63
8822088,0xc8a9569a2914bee70114ad84dcc1f70af44ce13265c83507b6be793bc5b4404f,0x25f952C6b87D3A9C48aC86B61F27b81a6f2ED332,liquidate,ZRX,18,4254600000000000000,35621995,0x8581C388a30518884522Fb177a92fc2193510814
8886131,0x92a736cf77fe23f79dc8a745a69729f111199d3c593274b910fd66840945bec8,0x268a1b7ECC1fE1FaB1eE32a7e61e3b7810BAD4a5,liquidate,ZRX,18,1995106520442669,2930982,0x88F598e1f05Eff820bFb78BE660a92AEf481d488
8886719,0x431d13ead8a142ace65803c63570899793b35941fd1297b3441c9a5884560a51,0x268a1b7ECC1fE1FaB1eE32a7e61e3b7810BAD4a5,liquidate,ZRX,18,52760075122141167,79058030,0x6147eDa90209e9c868e22659954EDfd6f8C26626
8886732,0x2ee5e086b7d3f834d007fa29210f4bd12972796ad25dc0471f1bbb80fc7a5a6d,0x8c863333c2E92f02e01F7A3c6d131E4d59f78990,liquidate,ZRX,18,23742061038861006,35576145,0x6147eDa90209e9c868e22659954EDfd6f8C26626
8908709,0xc599d25e6bd0a16779bc844ae6c48c0d8d7a66c32776eb69038ff89b7fc8b109,0xC6D1cBd356FaA71447A86C2FAA68e6456907e816,liquidate,ZRX,18,500214653849864465416,4393788977,0x3596c017ad351628Cd31980837c0938ddBaD7E49
8917345,0x0d8acc1ee4f78e90bf4752520574ef4669bff14d46df2bd2b9097dae45430008,0x8c863333c2E92f02e01F7A3c6d131E4d59f78990,liquidate,ZRX,18,225129314809306070000,1935653969,0x3596c017ad351628Cd31980837c0938ddBaD7E49
8947217,0x35893a5653ba00d1ae5da3757294cc7e2b16a2a3b83d4471c6f89839836eebce,0x268a1b7ECC1fE1FaB1eE32a7e61e3b7810BAD4a5,liquidate,ZRX,18,10258141936064181,14129897,0x6147eDa90209e9c868e22659954EDfd6f8C26626
8947229,0xc63cd1cbab9e11852b2bee520d58c48c8987a9547ccf90273597645972d7abc6,0x8c863333c2E92f02e01F7A3c6d131E4d59f78990,liquidate,ZRX,18,24075243263349,33162,0x6147eDa90209e9c868e22659954EDfd6f8C26626
8947384,0x3bae212bf469002d8677ba4b15f78823718124b4bb123566fb90b5d0648f6157,0x268a1b7ECC1fE1FaB1eE32a7e61e3b7810BAD4a5,liquidate,ZRX,18,798126256568014,1104144,0x88F598e1f05Eff820bFb78BE660a92AEf481d488
8976487,0x47bc7f918e985e89213427844b76cb5a965c02dfba1d3402f8a1c4add6b42251,0xC6D1cBd356FaA71447A86C2FAA68e6456907e816,liquidate,ZRX,18,25450253328324376907078,223940418422,0x380e92c897b0856Cc4ffdd0aCcC21Ba01c9327E9
8989455,0x502397c99115ea77c6203aa7552b8768185e78b0dc1f9945db1e0b69d2a2cc2d,0x268a1b7ECC1fE1FaB1eE32a7e61e3b7810BAD4a5,liquidate,ZRX,18,214607679415265753,1836383,0x32A4edb6EdF93286fDFd6EA485d02D6A7bAf4c1B
8994051,0x62eb396e68514a94e2cb489b4454752ea8f675a2f3c91a64fb816dd06828929a,0x268a1b7ECC1fE1FaB1eE32a7e61e3b7810BAD4a5,liquidate,ZRX,18,1741262472576405235,15271571,0x8581C388a30518884522Fb177a92fc2193510814
9010986,0x19d289b86178120d9a5b09712d37e9873d597aeaae852f013913aa3984a70b57,0xC6D1cBd356FaA71447A86C2FAA68e6456907e816,liquidate,ZRX,18,68726256971343504,616307,0x315a0f2267ae8E8d3EC3Cae1a0284097b47fA1c6
9018718,0xa8dd3b8ee1e29e7b0fb167ea4c1a4157910a0de9b4ee790711025c4984a2d5a2,0xbAF99eD5b5663329FA417953007AFCC60f06F781,liquidate,ZRX,18,1293400000000000000,12127116,0x8581C388a30518884522Fb177a92fc2193510814
9082920,0xb7ba825294f757f8b8b6303b2aef542bcaebc9cc0217ddfaf822200a00594ed9,0xbccD001DaD97Ee057f5B1FC59adD28Af8f201ac9,liquidate,ZRX,18,653800000000000000,5250648,0x8581C388a30518884522Fb177a92fc2193510814
9117795,0xb13f59df6bbb47d6abb1cbb2a01f7b7bbba45dda177cdb030c6aaf3469f3fd92,0x5DAfafbd7AcD662C909a9601120cf1D9F277e8aE,liquidate,ZRX,18,66743273899425008,507058,0x8581C388a30518884522Fb177a92fc2193510814
9117799,0x1574bdf297d16a8599ccdcc51d0e1abccb35e1ff83499f6b138aa255a6d7b980,0x5DAfafbd7AcD662C909a9601120cf1D9F277e8aE,liquidate,ZRX,18,66743273899425008,507058,0x8581C388a30518884522Fb177a92fc2193510814
9117804,0x3177d7cd8fa2c078a8ec165794e2fc3ad6151ef7f20a9b441d57d0cb187903ae,0x5DAfafbd7AcD662C909a9601120cf1D9F277e8aE,liquidate,ZRX,18,66743284281377416,507058,0x8581C388a30518884522Fb177a92fc2193510814
9117846,0xd6c939bfc8d79fd1373ecf2379520147a801d8f5087b61f608879da5ff9b6c93,0x5DAfafbd7AcD662C909a9601120cf1D9F277e8aE,liquidate,ZRX,18,70124712565985136,532747,0x8581C388a30518884522Fb177a92fc2193510814
9117848,0xb74d8dd3de6953c81b70bea58c14501dce87a9454793655719a587f574e50d7d,0x5DAfafbd7AcD662C909a9601120cf1D9F277e8aE,liquidate,ZRX,18,70124716929185600,532747,0x8581C388a30518884522Fb177a92fc2193510814
9153176,0x476a035552add5955327a386fad96f251272e75eb24d765031151c3f49400140,0x5DAfafbd7AcD662C909a9601120cf1D9F277e8aE,liquidate,ZRX,18,163566644540854650,1231928,0x8581C388a30518884522Fb177a92fc2193510814
9181433,0x2dd625ba16335c559cdedebd5f7588b37918a8c2e8025d43aa6ae85ce83d43dd,0x8c863333c2E92f02e01F7A3c6d131E4d59f78990,liquidate,ZRX,18,1240686538261108600000,6740486948568,0x369BB02409A711E1971f09fEf41A093Ba8536ECb
